code;dd.mm.yyyy;pressure;humidity;avg_temperature;dew_point;min_temperature;max_temperature
15716;26.11.1998;1010,7724609375;70;-25;-28,4812335968018;-28;-22
15717;27.11.1998;1016,90496826172;84;-32;-33,5900650024414;-33;-30
15718;28.11.1998;1016,17248535156;84;-32;-33,6368675231934;-34;-30
15719;30.11.1998;1016,28997802734;71;-22,6666660308838;-26,1223659515381;-24;-21
15720;01.12.1998;1013,34753417969;76;-15,3333330154419;-18,1695327758789;-16;-15
15721;02.12.1998;1004,1875;84;-17,3333339691162;-19,1662330627441;-18;-16
15722;03.12.1998;994,276245117188;85;-12;-13,7963666915894;-14;-10
15723;04.12.1998;1001,10223388672;80;-8,33333301544189;-10,7650203704834;-9;-8
15724;05.12.1998;1011,83502197266;87;-7;-8,52744960784912;-7;-7
15725;06.12.1998;1014,7900390625;72;-15,6666669845581;-19,1792659759521;-18;-12
15726;07.12.1998;1012,67749023438;94;-14,3333330154419;-14,9734001159668;-16;-13
15727;09.12.1998;1015,78332519531;91;-14,5;-15,5714502334595;-15;-14
15728;10.12.1998;1006,98834228516;93;-9,39999961853027;-10,2252635955811;-14;-7
15729;11.12.1998;1011,26715087891;94;-5,66666650772095;-6,3491849899292;-9;-4
15730;12.12.1998;1017,29998779297;77;-8,60000038146973;-11,5578279495239;-10;-7
15731;13.12.1998;1015,09332275391;99;-7,59999990463257;-7,66999578475952;-11;-6
15732;14.12.1998;1002,00323486328;80;-13,3333330154419;-15,7340335845947;-16;-11
15733;15.12.1998;994,860717773438;90;-5,80000019073486;-7,02085971832275;-12;-3
15734;16.12.1998;992,866027832031;81;-11,1999998092651;-13,5803537368774;-14;-8
15735;17.12.1998;997,974853515625;72;-12;-15,5310802459717;-14;-10
15736;18.12.1998;993,017456054688;72;-7,16666650772095;-10,9218463897705;-8;-6
15737;19.12.1998;985,323425292969;89;-5,5;-6,83493518829346;-6;-5
15738;20.12.1998;989,247009277344;84;-3,33333325386047;-5,36937189102173;-4;-3
15739;21.12.1998;997,420837402344;87;-4,16666650772095;-5,77896499633789;-5;-3
15740;22.12.1998;996,044311523438;80;-5,83333349227905;-8,39207458496094;-8;-5
15741;23.12.1998;1002,20928955078;89;-5,5;-6,83683013916016;-7;-4
15742;24.12.1998;994,179748535156;78;-3,20000004768372;-6,2025580406189;-5;-1
15743;25.12.1998;993,474731445313;82;-8,5;-10,929573059082;-21;-1
15744;26.12.1998;1013,84747314453;66;-22,75;-25,4646987915039;-27;-20
15745;27.12.1998;999,976989746094;95;-8;-8,58426952362061;-8;-8
15746;28.12.1998;1003,94201660156;63;-12;-17,2357616424561;-15;-9
15747;29.12.1998;995,133850097656;82;-5,2857141494751;-7,58756303787231;-7;-4
15748;30.12.1998;1000,06488037109;91;-6,2857141494751;-7,41570138931274;-10;-4
15749;31.12.1998;996,34912109375;78;-3,71428561210632;-6,63895416259766;-6;-2
15750;01.01.1999;986,179870605469;79;-1,33333337306976;-4,36074161529541;-6;0
15751;02.01.1999;991,309509277344;66;-12,4285717010498;-17,0366992950439;-22;-1
15752;03.01.1999;1010,92498779297;68;-24,2857151031494;-28,1525859832764;-27;-20
15753;04.01.1999;1018,90875244141;70;-23,6666660308838;-27,1651668548584;-29;-19
15754;05.01.1999;1015,06127929688;73;-19,5714282989502;-22,789571762085;-22;-17
15755;06.01.1999;1013,87750244141;73;-20,7142848968506;-23,9356288909912;-23;-17
15756;07.01.1999;1010,28503417969;74;-21,4285717010498;-24,7175998687744;-25;-16
15757;08.01.1999;1007,30377197266;80;-22,1428565979004;-24,7226848602295;-26;-17
15758;09.01.1999;1011,57122802734;66;-17,2857151031494;-21,8347854614258;-23;-12
15759;10.01.1999;1011,16998291016;60;-16,1428565979004;-21,7248001098633;-22;-11
15760;11.01.1999;1009,65002441406;77;-20,1428565979004;-22,9722290039063;-24;-14
15761;12.01.1999;1007,6162109375;83;-21;-22,9367828369141;-25;-14
15762;13.01.1999;1009,08123779297;77;-13,3333330154419;-16,3917007446289;-23;-6
15763;14.01.1999;1008,55999755859;72;-8,33333301544189;-12,2352018356323;-11;-7
15764;15.01.1999;1010,21252441406;85;-14,2857141494751;-16,0650005340576;-16;-12
15765;16.01.1999;1014,59375;76;-19,2857151031494;-22,0517578125;-22;-17
15766;17.01.1999;1016,68499755859;81;-22,2857151031494;-24,5480289459229;-26;-17
15767;18.01.1999;1012,25854492188;83;-16,8333339691162;-18,7494163513184;-24;-14
15768;19.01.1999;996,192260742188;74;-9,85714244842529;-13,2287998199463;-12;-8
15769;20.01.1999;989,70068359375;86;-7,42857122421265;-9,11016464233398;-9;-6
15770;21.01.1999;993,326354980469;92;-9,66666698455811;-10,6266298294067;-10;-9
15771;22.01.1999;977,012573242188;84;-7;-9,03413009643555;-12;-5
15772;23.01.1999;998,486999511719;71;-21,25;-24,776725769043;-26;-11
15773;24.01.1999;994,205444335938;84;-13,5714282989502;-15,3835287094116;-21;-7
15774;25.01.1999;1002,46936035156;71;-21,75;-25,5621871948242;-30;-16
15775;26.01.1999;1000,88861083984;74;-17,375;-20,539722442627;-28;-8
15776;27.01.1999;1002,48950195313;75;-12,875;-16,1217842102051;-24;-6
15777;28.01.1999;998,880249023438;85;-3,625;-5,47106647491455;-9;0
15778;29.01.1999;1000,83764648438;85;-5,5;-7,38135957717896;-12;0
15779;30.01.1999;1014,45855712891;70;-21,2857151031494;-24,8981857299805;-27;-17
15780;01.02.1999;1008,63665771484;46;-9,5;-18,4023342132568;-15;-5
15781;02.02.1999;1006,90716552734;62;-13,4285717010498;-18,7261276245117;-18;-8
15782;03.02.1999;1002,30999755859;65;-10,1666669845581;-15,3730602264404;-16;-5
