code;dd.mm.yyyy;pressure;humidity;avg_temperature;dew_point;min_temperature;max_temperature
6760;26.11.1998;1014,25;66;-26;-30,1375999450684;-29;-24
6761;27.11.1998;1024,63256835938;66;-31,25;-35,0525512695313;-33;-30
6762;28.11.1998;1028,46752929688;54;-29,25;-35,1319236755371;-31;-27
6763;30.11.1998;1017,86248779297;65;-17,25;-21,8063011169434;-20;-14
6764;01.12.1998;1013,67498779297;74;-20,5;-23,4995994567871;-21;-19
6765;02.12.1998;996,328247070313;80;-12,75;-15,379674911499;-14;-12
6766;03.12.1998;992,314270019531;83;-8,5;-10,5390501022339;-9;-7
6767;04.12.1998;999,829284667969;93;-6,25;-7,16704988479614;-9;-4
6768;05.12.1998;1007,27746582031;83;-7,5;-9,85369968414307;-9;-6
6769;06.12.1998;1007,33666992188;79;-8,66666698455811;-11,4303369522095;-9;-8
6770;07.12.1998;1008,03247070313;90;-7,25;-8,53871536254883;-8;-5
6771;09.12.1998;1003,04998779297;90;-2;-3,25929999351501;-2;-2
6772;10.12.1998;1010,37426757813;93;-1,71428573131561;-2,48847150802612;-2;-1
6773;11.12.1998;1011,15856933594;96;-2,66666674613953;-3,07692337036133;-4;-2
6774;12.12.1998;1007,78717041016;100;-2,57142853736877;-2,57142853736877;-5;-1
6775;13.12.1998;1002,10827636719;100;-3,71428561210632;-4;-6;-2
6776;14.12.1998;982,510498046875;82;-6,25;-8,57631301879883;-9;-4
6777;15.12.1998;984,239990234375;67;-12;-16,350528717041;-13;-11
6778;16.12.1998;994,260009765625;70;-11,3333330154419;-15,2793502807617;-14;-9
6779;17.12.1998;988,879455566406;87;-5,14285707473755;-6,80403995513916;-7;-2
6780;18.12.1998;983,366027832031;77;-5,16666650772095;-8,19853019714355;-6;-4
6781;19.12.1998;975,394592285156;75;-4,7142858505249;-8,0424690246582;-7;-3
6782;20.12.1998;979,35302734375;81;-1;-3,5179283618927;-2;0
6783;21.12.1998;981,587280273438;81;-2,42857146263123;-4,85568857192993;-3;-2
6784;22.12.1998;984,372314453125;76;-1,66666662693024;-4,79114818572998;-3;-1
6785;23.12.1998;975,271850585938;98;-1,5;-1,68176662921906;-3;0
6786;24.12.1998;984,03369140625;63;-17,5714282989502;-22,4692993164063;-20;-16
6787;25.12.1998;996,975219726563;60;-19,25;-24,4235496520996;-21;-18
6788;26.12.1998;999,497253417969;58;-12,75;-18,5932235717773;-15;-10
6789;27.12.1998;980,6669921875;71;-5;-8,9412202835083;-5;-5
6790;28.12.1998;980,598022460938;79;-5,80000019073486;-8,60867977142334;-6;-5
6791;29.12.1998;987,188354492188;91;-5,75;-6,97202777862549;-8;-5
6792;30.12.1998;982,976623535156;87;-0,875;-2,7486424446106;-3;1
6793;31.12.1998;983,03564453125;76;-8,625;-11,5385627746582;-20;-2
6794;01.01.1999;990,267272949219;87;-23,5;-25,0868873596191;-27;-21
6795;02.01.1999;1004,33551025391;93;-29,1428565979004;-29,7674293518066;-30;-27
6796;03.01.1999;1013,42376708984;89;-26;-27,1829738616943;-32;-21
6797;04.01.1999;1008,57122802734;74;-18,5714282989502;-21,7365856170654;-20;-16
6798;05.01.1999;1004,59497070313;82;-11,625;-14,1198253631592;-18;-6
6799;06.01.1999;996,41748046875;44;-11,75;-20,4898872375488;-13;-10
6800;07.01.1999;983,378601074219;63;-14,5;-19,3731250762939;-16;-14
6801;08.01.1999;976,343627929688;96;-5,625;-6,1289005279541;-12;0
6802;09.01.1999;982,353515625;95;0,375;-0,220252305269241;0;2
6803;10.01.1999;991,320373535156;85;-4,5;-6,39578008651733;-12;0
6804;11.01.1999;999,440490722656;82;-8,66666698455811;-11,0533933639526;-12;-5
6805;12.01.1999;987,142883300781;96;-4,875;-5,31408643722534;-6;-4
6806;13.01.1999;993,234985351563;97;-10,5;-10,7443752288818;-14;-8
6807;14.01.1999;1004,86999511719;69;-16,5714282989502;-20,698413848877;-18;-14
6808;15.01.1999;1007,14501953125;90;-10,375;-11,6108121871948;-13;-9
6809;16.01.1999;1010,12750244141;73;-9,75;-13,2515878677368;-14;-7
6810;17.01.1999;1011,06750488281;71;-12,875;-16,5444259643555;-17;-11
6811;18.01.1999;1004,59283447266;68;-8,7142858505249;-13,023871421814;-11;-7
6812;19.01.1999;995,595153808594;76;-5,66666650772095;-8,98401832580566;-9;-3
6813;20.01.1999;996,547485351563;91;-7,5;-8,55799961090088;-12;-5
6814;21.01.1999;984,807983398438;72;-6;-9,85706043243408;-8;-4
6815;22.01.1999;989,437316894531;67;-20;-24,3549499511719;-25;-16
6816;23.01.1999;982,993225097656;66;-16,125;-20,9085254669189;-25;-14
6817;24.01.1999;993,72900390625;77;-18,75;-21,531063079834;-21;-12
6818;25.01.1999;992,295349121094;71;-12,875;-16,7786121368408;-17;-10
6819;26.01.1999;989,279968261719;80;-11,7142858505249;-14,195743560791;-18;-6
6820;27.01.1999;981,507141113281;86;-3,75;-5,40860509872437;-7;-1
6821;28.01.1999;991,355102539063;76;-6,875;-10,0337896347046;-18;-2
6822;29.01.1999;1006,08337402344;81;-10;-12,2906646728516;-16;-5
6823;30.01.1999;1008,154296875;78;-1,57142853736877;-4,82022857666016;-5;1
6824;01.02.1999;989,995178222656;79;-4,33333349227905;-7,08574676513672;-9;-2
6825;02.02.1999;979,467712402344;86;-1,14285719394684;-2,92728996276855;-2;0
6826;03.02.1999;979,377014160156;69;-10,5;-14,5327215194702;-15;-3
6827;04.02.1999;969,136840820313;80;-12,875;-15,2779865264893;-29;-7
6828;05.02.1999;977,039733886719;65;-23;-27,206937789917;-30;-16
6829;06.02.1999;987,064880371094;76;-4,375;-7,60237884521484;-12;0
6830;07.02.1999;994,184387207031;70;-5,25;-9,33193874359131;-6;-4
6831;08.02.1999;996,572509765625;72;-11,375;-14,8631000518799;-16;-8
6832;09.02.1999;988,331359863281;73;-15;-18,2724380493164;-21;-11
6833;10.02.1999;993,585571289063;79;-10,2857141494751;-12,9071426391602;-11;-10
6834;11.02.1999;1003,41430664063;75;-11;-14,2054004669189;-15;-8
6835;12.02.1999;1008,56372070313;79;-9,5;-12,1547813415527;-16;-4
6836;13.02.1999;998,865844726563;73;-5,7142858505249;-9,35659980773926;-8;-3
6837;14.02.1999;1001,92425537109;65;-8,75;-13,5942630767822;-14;-5
6838;15.02.1999;1007,12377929688;67;-12;-16,4984760284424;-18;-6
6839;16.02.1999;1009,73626708984;68;-14,125;-18,5003871917725;-21;-7
6840;17.02.1999;1008,14123535156;72;-15,625;-19,1922130584717;-20;-9
6841;18.02.1999;1002,36877441406;73;-14,75;-18,0550994873047;-18;-9
6842;19.02.1999;1000,90625;74;-13,375;-16,6811370849609;-20;-9
6843;20.02.1999;996,143981933594;72;-9,7142858505249;-13,4250860214233;-13;-6
6844;21.02.1999;987,794738769531;76;-11,375;-14,3437871932983;-15;-8
6845;22.02.1999;977,881896972656;83;-9;-11,1151733398438;-15;-5
6846;23.02.1999;983,869018554688;85;-3,25;-5,08032751083374;-5;-2
6847;24.02.1999;996,957397460938;80;-7;-9,53398418426514;-13;-3
6848;25.02.1999;1004,33251953125;85;-10,5;-12,276816368103;-17;-4
6849;26.02.1999;1002,20123291016;88;-7;-8,47231388092041;-9;-6
6850;27.02.1999;1002,93249511719;82;-4,25;-6,50370979309082;-6;-2
6851;28.02.1999;991,013122558594;88;-5,25;-6,68461132049561;-7;-4
6852;01.03.1999;975,601623535156;86;-5,75;-7,37897109985352;-8;-3
6853;02.03.1999;984,397583007813;79;-8,375;-11,0989723205566;-16;-6
6854;03.03.1999;1001,04937744141;78;-14,5;-17,2478866577148;-20;-9
6855;04.03.1999;1005,38330078125;80;-14,1666669845581;-16,5430679321289;-18;-11
6856;05.03.1999;1005,51715087891;77;-12,4285717010498;-15,2394857406616;-16;-10
6857;06.03.1999;1010,50286865234;70;-19;-22,809871673584;-21;-18
6858;07.03.1999;1010,90875244141;64;-18,75;-23,3067741394043;-24;-16
6859;08.03.1999;1005,02514648438;74;-15;-18,3223743438721;-17;-13
6860;09.03.1999;999,577453613281;61;-13,4285717010498;-18,8690433502197;-16;-11
6861;10.03.1999;998,781188964844;68;-13,5;-17,6398334503174;-19;-6
6862;11.03.1999;1002,08123779297;73;-11,125;-14,5777006149292;-17;-6
6863;12.03.1999;1005,31500244141;77;-13,125;-15,9886751174927;-19;-9
6864;13.03.1999;1004,39501953125;75;-18;-21,0438747406006;-22;-14
6865;14.03.1999;1005,98498535156;78;-22;-24,5092506408691;-24;-20
6866;15.03.1999;1014,23999023438;65;-18;-22,4299392700195;-22;-15
6867;16.03.1999;1008,70501708984;70;-17,5;-21,2547740936279;-24;-11
6868;17.03.1999;1004,75;81;-17,6666660308838;-19,8661994934082;-22;-12
6869;18.03.1999;998,034606933594;74;-11,375;-14,6378040313721;-19;-6
6870;19.03.1999;990,414123535156;66;-5,125;-9,96435451507568;-9;-3
6871;20.03.1999;985,590515136719;75;-4,5;-7,79558134078979;-9;-1
6872;21.03.1999;980,021728515625;57;-15,25;-21,2233123779297;-21;-10
6873;22.03.1999;995,466125488281;59;-12,875;-18,6848125457764;-20;-6
6874;23.03.1999;1005,99127197266;57;-11;-17,1644744873047;-18;-3
6875;24.03.1999;1006,60125732422;62;-9,625;-14,9806747436523;-16;-3
6876;25.03.1999;1005,72747802734;61;-9,875;-15,5005626678467;-17;-3
6877;26.03.1999;1002,55749511719;60;-9,875;-15,8414497375488;-18;-1
6878;27.03.1999;997,58935546875;71;-8,125;-12,2601442337036;-17;-1
6879;28.03.1999;1000,09484863281;77;-4,625;-7,95816373825073;-13;2
6880;29.03.1999;1002,12170410156;81;-3,57142853736877;-6,16982841491699;-11;1
6881;30.03.1999;995,95263671875;77;2,375;-1,22394812107086;1;4
6882;31.03.1999;999,039306640625;66;2,57142853736877;-3,26062870025635;0;5
6883;01.04.1999;997,339172363281;75;3,33333325386047;-0,738413989543915;0;7
6884;02.04.1999;994,145874023438;79;0,857142865657806;-0,918983161449432;-8;4
6885;03.04.1999;986,750549316406;72;2,42857146263123;-2,13874840736389;-1;5
6886;04.04.1999;968,419616699219;85;2,40000009536743;0,154676377773285;1;4
6887;05.04.1999;970,113098144531;66;1,375;-4,27990198135376;-4;5
6888;06.04.1999;975,915710449219;49;-5,14285707473755;-13,438928604126;-8;-3
6889;07.04.1999;979,905456542969;60;-4,14285707473755;-10,1499481201172;-8;-1
6890;08.04.1999;988,867126464844;60;-0,5;-7,1974048614502;-5;3
6891;09.04.1999;981,173217773438;81;2,25;-0,507942140102386;-1;5
6892;10.04.1999;979,260620117188;78;4,125;0,672538161277771;1;8
6893;11.04.1999;973,353637695313;61;5;-2,27237629890442;1;8
6894;12.04.1999;989,301635742188;67;5,875;-0,169338554143906;0;10
6895;13.04.1999;990,269775390625;69;11,375;5,45946645736694;3;20
6896;14.04.1999;994,011474609375;69;12,25;6,46382474899292;5;19
6897;15.04.1999;999,131103515625;83;12,125;9,25335025787354;7;18
6898;16.04.1999;997,518005371094;66;14,625;6,35294628143311;6;23
6899;17.04.1999;999,669250488281;87;3;1,10975575447083;1;5
6900;18.04.1999;1001,23461914063;71;4,125;-0,71394157409668;0;9
6901;19.04.1999;996,195739746094;78;2,375;-1,39208292961121;-4;13
6902;20.04.1999;1002,44750976563;65;-4,25;-9,89334201812744;-6;-1
6903;21.04.1999;1006,83502197266;49;-1,5;-11,0298528671265;-4;1
6904;22.04.1999;1008,19122314453;60;4,125;-3,54975724220276;-6;11
6905;23.04.1999;1008,32501220703;45;12,5;-0,970225870609283;0;22
6906;24.04.1999;1009,2275390625;40;14,375;-0,909588396549225;5;23
6907;25.04.1999;1007,05877685547;42;16,125;1,50003635883331;5;24
6908;26.04.1999;1002,45001220703;37;15,125;-1,20451128482819;7;23
6909;27.04.1999;1002,69836425781;45;11;-0,846405446529388;5;15
6910;28.04.1999;997,623413085938;40;10,2857141494751;-3,96050715446472;3;20
6911;29.04.1999;991,987121582031;41;12,8571424484253;-1,1137056350708;3;20
6912;30.04.1999;992,946838378906;37;17,4285717010498;1,63300669193268;9;26
6913;01.05.1999;986,671630859375;41;17,75;3,74864149093628;13;23
6914;02.05.1999;980,372863769531;68;12,75;6,86202001571655;9;16
6915;03.05.1999;983,778259277344;55;11,5714282989502;1,28093564510345;6;17
6916;04.05.1999;985,278137207031;70;8,75;3,59797525405884;7;11
6917;05.05.1999;985,665222167969;82;3,375;0,53221470117569;0;6
6918;06.05.1999;984,889526367188;76;2,875;-1,19145596027374;-1;7
6919;07.05.1999;992,502502441406;68;2;-3,4346911907196;-1;6
6920;08.05.1999;996,652282714844;44;5,57142877578735;-7,96122455596924;-2;12
6921;09.05.1999;996,333618164063;32;10,875;-6,85120868682861;3;16
6922;10.05.1999;994,419311523438;53;5,57142877578735;-3,95513558387756;0;10
6923;11.05.1999;995,926025390625;44;8,4285717010498;-3,47618007659912;-1;13
6924;12.05.1999;985,600463867188;53;14,3333330154419;4,70298480987549;11;18
6925;13.05.1999;983,893249511719;38;18,125;3,36590242385864;13;23
6926;14.05.1999;979,860717773438;62;14,7142858505249;6,62139558792114;6;24
6927;15.05.1999;987,109741210938;55;8,14285755157471;-0,867214322090149;4;11
6928;16.05.1999;983,087280273438;94;2;1,21588385105133;1;3
6929;17.05.1999;990,518737792969;46;10,4285717010498;-1,3730263710022;5;15
6930;18.05.1999;991,4541015625;55;13,75;3,79795432090759;3;19
6931;19.05.1999;979,615600585938;55;16,7142848968506;7,31173992156982;11;22
6932;20.05.1999;983,893249511719;60;12,5;4,39809370040894;7;17
6933;21.05.1999;992,092651367188;41;10,3333330154419;-2,68254494667053;7;13
6934;22.05.1999;988,882202148438;72;9;4,21274185180664;8;11
6935;23.05.1999;989,812683105469;70;10,3333330154419;4,90500640869141;8;12
6936;24.05.1999;990,826110839844;64;10,75;3,97496747970581;8;15
6937;25.05.1999;994,188232421875;49;12,875;1,54236376285553;5;18
6938;26.05.1999;994,7265625;57;15,4285717010498;5,8803596496582;10;21
6939;27.05.1999;1000,85687255859;52;18,4285717010498;7,43119287490845;8;26
6940;28.05.1999;997,207153320313;51;18,5;8,88412189483643;11;26
6941;29.05.1999;984,023132324219;59;19,625;11,3920745849609;14;26
6942;30.05.1999;979,589111328125;82;10,75;7,85789728164673;9;13
6943;31.05.1999;984,325622558594;63;13,25;6,24254989624023;10;17
6944;01.06.1999;983,626647949219;70;17,875;12,0571479797363;7;25
6945;02.06.1999;989,57666015625;56;14,625;5,38557720184326;10;19
6946;03.06.1999;995,8232421875;64;10,625;3,70095872879028;7;14
6947;04.06.1999;993,462524414063;55;15,75;5,90745258331299;5;20
6948;05.06.1999;993,492492675781;48;18,875;6,57912492752075;13;23
6949;06.06.1999;996,002746582031;46;19,625;6,12949752807617;11;25
6950;07.06.1999;992,189025878906;53;20,75;9,41015720367432;10;28
6951;08.06.1999;989,48046875;71;19,125;12,9288682937622;13;27
6952;09.06.1999;992,265991210938;63;12,8571424484253;5,62441301345825;7;16
6953;10.06.1999;996,642517089844;53;13;2,63990116119385;6;17
6954;11.06.1999;999,463500976563;61;11,75;4,09509897232056;7;15
6955;12.06.1999;992,359130859375;57;17,125;8,15860652923584;4;24
6956;13.06.1999;979,572509765625;67;14,3333330154419;8,21741008758545;7;21
6957;14.06.1999;983,353515625;67;5,33333349227905;-0,441806674003601;2;8
6958;15.06.1999;984,393493652344;59;7;-0,968155264854431;4;10
6959;16.06.1999;990,923645019531;46;10;-1,29121255874634;6;13
6960;17.06.1999;987,380981445313;75;12,3333330154419;7,94771003723145;8;17
6961;18.06.1999;986,920776367188;82;15;11,6546497344971;8;20
6962;19.06.1999;984,153442382813;85;14,2857141494751;11,7941589355469;10;17
6963;20.06.1999;986,703491210938;88;12,5;10,5916566848755;11;14
6964;21.06.1999;989,876708984375;57;15,8571424484253;6,82653713226318;11;20
6965;22.06.1999;992,439880371094;59;16,625;7,91054248809814;9;21
6966;23.06.1999;988,046020507813;60;19,5;11,1177597045898;14;24
6967;24.06.1999;984,640869140625;68;20,1666660308838;13,8445997238159;17;24
6968;25.06.1999;985,693969726563;86;17,75;15,393012046814;15;21
6969;26.06.1999;990,357971191406;84;19,375;16,5507621765137;17;21
6970;27.06.1999;992,457885742188;65;19,625;12,7252750396729;15;24
6971;28.06.1999;991,330444335938;66;19,7142848968506;12,4593858718872;12;26
6972;29.06.1999;994,203979492188;63;18,625;11,0708646774292;13;23
6973;30.06.1999;993,478149414063;53;18,7142848968506;8,62932872772217;12;24
6974;01.07.1999;991,824768066406;54;19,375;9,1875057220459;14;24
6975;02.07.1999;990,488891601563;49;20,875;8,86934852600098;12;26
6976;03.07.1999;989,085021972656;57;20,6666660308838;11,0066518783569;13;27
6977;04.07.1999;984,560485839844;58;23;13,9228000640869;17;29
6978;05.07.1999;982,075988769531;46;25,375;12,3148584365845;19;31
6979;06.07.1999;980,753173828125;62;22,3333339691162;13,960000038147;15;28
6980;07.07.1999;983,686279296875;75;21,375;16,7604999542236;18;26
6981;08.07.1999;987,169006347656;67;24,875;17,8758869171143;20;30
6982;09.07.1999;986,489624023438;59;25,5;16,3971996307373;19;30
6983;10.07.1999;985,267395019531;59;21;12,176739692688;15;24
6984;11.07.1999;984,857604980469;72;13,75;8,48619842529297;11;18
6985;12.07.1999;984,556274414063;64;14,5;7,76274013519287;10;18
6986;13.07.1999;981,619262695313;73;11,625;5,92472648620605;9;15
6987;14.07.1999;977,904357910156;91;13,875;12,3998870849609;12;17
6988;15.07.1999;983,213439941406;85;14,5;12,2792282104492;12;17
6989;16.07.1999;980,71875;84;16,75;13,9956998825073;14;21
6990;17.07.1999;981,431274414063;83;16,7142848968506;13,8259859085083;14;21
6991;18.07.1999;984,317138671875;83;17,375;14,2090749740601;14;23
6992;19.07.1999;988,075378417969;77;15,625;11,3747138977051;12;20
6993;20.07.1999;992,846740722656;64;19,875;12,6085376739502;12;25
6994;21.07.1999;992,039123535156;67;21,4285717010498;14,2174425125122;15;27
6995;22.07.1999;991,78759765625;67;21,75;14,7351121902466;15;27
6996;23.07.1999;992,530517578125;64;23,25;15,5254373550415;16;28
6997;24.07.1999;993,585388183594;63;24,125;15,7729873657227;16;30
6998;25.07.1999;992,50341796875;59;25,1428565979004;16,0967292785645;17;31
6999;26.07.1999;991,661499023438;66;24,5;17,2533493041992;18;30
7000;27.07.1999;990,905517578125;66;24,25;17,0460758209229;17;30
7001;28.07.1999;992,606994628906;62;24,125;15,6476125717163;16;30
7002;29.07.1999;993,205505371094;61;25,375;16,57151222229;17;30
7003;30.07.1999;991,881591796875;60;25,625;16,9307746887207;19;31
7004;31.07.1999;992,504638671875;66;25,75;18,4543132781982;19;30
7005;01.08.1999;989,915161132813;58;27,2000007629395;17,6616992950439;20;33
7006;02.08.1999;988,751159667969;95;16,8333339691162;16,0480670928955;15;18
7007;03.08.1999;985,97900390625;92;14;12,7088375091553;13;15
7008;04.08.1999;988,607727050781;72;16,125;10,6494159698486;12;20
7009;05.08.1999;993,697021484375;67;16,4285717010498;9,77201271057129;10;22
7010;06.08.1999;995,072143554688;57;17,375;8,50548648834229;12;21
7011;07.08.1999;990,649597167969;75;13,1999998092651;8,89344215393066;12;15
7012;08.08.1999;979,935852050781;83;15,5714282989502;12,7500715255737;11;19
7013;09.08.1999;981,410400390625;78;14,8571424484253;10,9178199768066;12;17
7014;10.08.1999;989,801452636719;80;15;11,6111402511597;13;17
7015;11.08.1999;994,497131347656;83;15;12,1353750228882;13;17
7016;12.08.1999;995,949340820313;66;17,625;10,7668914794922;13;23
7017;13.08.1999;993,266845703125;63;18,1666660308838;10,3879833221436;12;24
7018;14.08.1999;988,89111328125;81;19,375;16,0326118469238;17;21
7019;15.08.1999;990,44287109375;64;21,75;14,033787727356;16;28
7020;16.08.1999;988,418762207031;58;22,375;12,0587825775146;16;29
7021;17.08.1999;989,349975585938;68;21,8333339691162;14,7361001968384;17;27
7022;18.08.1999;990,744384765625;63;21;13,1933002471924;14;27
7023;19.08.1999;986,442626953125;58;20,75;10,4004154205322;12;28
7024;20.08.1999;993,162109375;60;16,5;7,89009094238281;12;21
7025;21.08.1999;990,269897460938;65;18,375;11,3197650909424;9;26
7026;22.08.1999;986,105163574219;60;22,2857151031494;12,8520002365112;16;31
7027;23.08.1999;988,178771972656;72;19,625;14,2092247009277;13;26
