code;dd.mm.yyyy;pressure;humidity;avg_temperature;dew_point;min_temperature;max_temperature
1;26.11.1998;1005,26251220703;85;-26,75;-28,3584995269775;-29;-25
2;27.11.1998;1012,83752441406;77;-31,25;-33,8434257507324;-34;-28
3;28.11.1998;1010,86499023438;80;-20,75;-23,4538993835449;-25;-17
4;30.11.1998;1001,69750976563;65;-17,25;-21,7981262207031;-18;-16
5;01.12.1998;999,495727539063;93;-17,5;-18,2362251281738;-19;-16
6;02.12.1998;977,652465820313;67;-13,25;-17,7408504486084;-14;-13
7;03.12.1998;975,380981445313;94;-6,5;-7,22919511795044;-8;-5
8;04.12.1998;985,682006835938;84;-7;-8,89801788330078;-9;-6
9;05.12.1998;994,869995117188;94;-10,5;-11,167200088501;-12;-9
10;06.12.1998;993,773315429688;100;-9,66666698455811;-9,66666698455811;-10;-9
11;07.12.1998;992,565490722656;100;-3;-3;-4;-2
12;09.12.1998;989,47265625;100;-0,666666686534882;-0,666666686534882;-1;0
13;10.12.1998;998,140563964844;98;-2,57142853736877;-2,76524424552917;-4;-1
14;11.12.1998;997,6259765625;84;-2,66666674613953;-5,1910834312439;-3;-2
15;12.12.1998;994,977600097656;96;-3,57142853736877;-4,05957126617432;-6;-2
16;13.12.1998;991,480712890625;94;-9,2857141494751;-10,1598567962646;-13;-6
17;14.12.1998;965,979248046875;100;-6,5;-6,5;-8;-5
18;15.12.1998;968,871276855469;100;-11,8000001907349;-11,8000001907349;-13;-11
19;16.12.1998;977,164489746094;82;-12,6666669845581;-14,9704504013062;-14;-11
20;17.12.1998;971,278564453125;90;-5,7142858505249;-6,96616125106812;-9;-3
21;18.12.1998;966,601135253906;96;-4,57142877578735;-5,00691699981689;-6;-3
22;19.12.1998;955,528564453125;90;-4,5;-5,74575519561768;-6;-3
23;20.12.1998;959,619812011719;84;-0,16666667163372;-2,46955013275146;-1;0
24;21.12.1998;966,302124023438;98;-2,57142853736877;-2,74451994895935;-3;-2
25;22.12.1998;965,843811035156;85;-1,83333337306976;-3,73473334312439;-3;-1
26;23.12.1998;960,916870117188;91;-5,66666650772095;-6,90042161941528;-14;-2
27;24.12.1998;967,230895996094;74;-20,2857151031494;-23,4067287445068;-23;-19
28;25.12.1998;978,780029296875;78;-21,375;-24,1541366577148;-24;-19
29;26.12.1998;979,177734375;82;-14,5;-16,7413749694824;-18;-12
30;27.12.1998;965,318969726563;100;-6;-6;-6;-6
31;28.12.1998;963,532409667969;90;-6,40000009536743;-7,62590408325195;-7;-6
32;29.12.1998;973,322509765625;92;-12,25;-13,153787612915;-14;-6
33;30.12.1998;963,083862304688;91;-3,625;-4,67546892166138;-8;0
34;31.12.1998;976,609008789063;70;-17,625;-21,3975505828857;-25;-8
35;01.01.1999;982,763732910156;89;-28,5714282989502;-29,6928997039795;-31;-26
36;02.01.1999;992,10546875;51;-29;-35,5491981506348;-31;-27
37;03.01.1999;996,360900878906;74;-24;-27,2912502288818;-29;-19
38;04.01.1999;992,874267578125;85;-19,375;-21,0491752624512;-21;-17
39;05.01.1999;987,807983398438;89;-12;-13,2157201766968;-18;-8
40;06.01.1999;975,3603515625;57;-9,5;-15,7358999252319;-11;-8
41;07.01.1999;966,280151367188;87;-11,75;-13,2220373153687;-12;-11
42;08.01.1999;958,713745117188;87;-6,75;-8,3897705078125;-12;-1
43;09.01.1999;966,148254394531;87;-0,375;-2,17570996284485;-1;0
44;10.01.1999;977,771606445313;88;-6,625;-8,06901264190674;-13;0
45;11.01.1999;988,652099609375;99;-12;-12,1139755249023;-14;-10
46;12.01.1999;980,990966796875;90;-9,75;-10,9416370391846;-11;-9
47;13.01.1999;983,809631347656;86;-15;-16,7203006744385;-18;-12
48;14.01.1999;991,106140136719;100;-19,1666660308838;-19,1666660308838;-21;-17
49;15.01.1999;993,102111816406;99;-11,125;-11,1391124725342;-16;-9
50;16.01.1999;995,9599609375;99;-6,75;-6,79347896575928;-10;-4
51;17.01.1999;993,947998046875;96;-9,25;-9,66727161407471;-12;-8
52;18.01.1999;988,720458984375;86;-6,14285707473755;-8,01308155059814;-7;-5
53;19.01.1999;979,828735351563;91;-4,57142877578735;-5,61003017425537;-6;-4
54;20.01.1999;981,153503417969;95;-3,40000009536743;-4,04777812957764;-5;-2
55;21.01.1999;964,24267578125;95;-4,33333349227905;-4,94775676727295;-5;-4
56;22.01.1999;978,443481445313;69;-24;-27,6889839172363;-25;-23
57;23.01.1999;973,546264648438;69;-25,625;-29,1983242034912;-28;-25
58;24.01.1999;982,7236328125;67;-28,125;-31,8780250549316;-30;-27
59;25.01.1999;980,872619628906;71;-22,875;-26,2834377288818;-25;-21
60;26.01.1999;976,452026367188;78;-19,1428565979004;-21,6493721008301;-21;-17
61;27.01.1999;965,971862792969;88;-7,5;-8,93655109405518;-15;-4
62;28.01.1999;978,065002441406;77;-11,875;-14,6846265792847;-21;-5
63;29.01.1999;990,826843261719;85;-11,3333330154419;-13,0234451293945;-16;-7
64;30.01.1999;990,735717773438;72;-0,142857149243355;-4,50824689865112;-5;1
65;01.02.1999;972,6953125;77;-2,33333325386047;-5,31436014175415;-3;-2
66;02.02.1999;964,0009765625;91;-1,14285719394684;-2,25832581520081;-2;0
67;03.02.1999;964,314819335938;66;-12,6666669845581;-17,4271602630615;-23;-3
68;04.02.1999;957,111022949219;80;-14,75;-17,0957260131836;-22;-11
69;05.02.1999;957,785522460938;67;-21,875;-25,8326244354248;-24;-18
